timestamp,total_votes,kc_venugopal_votes,kc_venugopal_pct,vd_satheesan_votes,vd_satheesan_pct,ramesh_chennithala_votes,ramesh_chennithala_pct,delta_total,delta_venugopal,delta_satheesan,delta_chennithala,alert
2026-05-13 07:14:54,469388,184106,39.2,258658,55.1,26624,5.7,0,0,0,0,
2026-05-13 07:15:55,469462,184109,39.2,258725,55.1,26628,5.7,74,3,67,4,
2026-05-13 07:16:56,469530,184109,39.2,258792,55.1,26629,5.7,68,0,67,1,
2026-05-13 07:17:58,469590,184112,39.2,258849,55.1,26629,5.7,60,3,57,0,
2026-05-13 07:18:59,469661,184114,39.2,258915,55.1,26632,5.7,71,2,66,3,
2026-05-13 07:20:00,469740,184115,39.2,258991,55.1,26634,5.7,79,1,76,2,
2026-05-13 07:21:01,469821,184119,39.2,259066,55.1,26636,5.7,81,4,75,2,
2026-05-13 07:22:02,469907,184120,39.2,259146,55.1,26641,5.7,86,1,80,5,
2026-05-13 07:23:03,469980,184121,39.2,259214,55.2,26645,5.7,73,1,68,4,
2026-05-13 07:24:07,470055,184123,39.2,259285,55.2,26647,5.7,75,2,71,2,
2026-05-13 07:26:21,470192,184129,39.2,259412,55.2,26651,5.7,137,6,127,4,
2026-05-13 07:27:22,470270,184131,39.2,259485,55.2,26654,5.7,78,2,73,3,
2026-05-13 07:28:22,470345,184133,39.1,259555,55.2,26657,5.7,75,2,70,3,
2026-05-13 07:29:24,470431,184136,39.1,259631,55.2,26664,5.7,86,3,76,7,
2026-05-13 07:30:25,470521,184137,39.1,259719,55.2,26665,5.7,90,1,88,1,
2026-05-13 07:31:27,470594,184139,39.1,259787,55.2,26668,5.7,73,2,68,3,
2026-05-13 07:32:28,470672,184141,39.1,259862,55.2,26669,5.7,78,2,75,1,
2026-05-13 07:33:29,470739,184143,39.1,259925,55.2,26671,5.7,67,2,63,2,
2026-05-13 07:34:31,470809,184143,39.1,259995,55.2,26671,5.7,70,0,70,0,
2026-05-13 07:35:32,470883,184146,39.1,260061,55.2,26676,5.7,74,3,66,5,
2026-05-13 07:36:33,470959,184146,39.1,260134,55.2,26679,5.7,76,0,73,3,
2026-05-13 07:37:34,471039,184148,39.1,260211,55.2,26680,5.7,80,2,77,1,
2026-05-13 07:38:35,471112,184152,39.1,260279,55.2,26681,5.7,73,4,68,1,
2026-05-13 07:39:38,471190,184154,39.1,260353,55.3,26683,5.7,78,2,74,2,
2026-05-13 07:40:39,471255,184155,39.1,260414,55.3,26686,5.7,65,1,61,3,
2026-05-13 07:41:39,471339,184157,39.1,260491,55.3,26691,5.7,84,2,77,5,
2026-05-13 07:42:41,471417,184161,39.1,260561,55.3,26695,5.7,78,4,70,4,
2026-05-13 07:43:42,471500,184167,39.1,260637,55.3,26696,5.7,83,6,76,1,
2026-05-13 07:44:44,471581,184169,39.1,260713,55.3,26699,5.7,81,2,76,3,
2026-05-13 07:45:44,471650,184174,39.0,260774,55.3,26702,5.7,69,5,61,3,
2026-05-13 07:46:46,471741,184175,39.0,260860,55.3,26706,5.7,91,1,86,4,
2026-05-13 07:47:48,471833,184176,39.0,260947,55.3,26710,5.7,92,1,87,4,
2026-05-13 07:48:50,471921,184177,39.0,261030,55.3,26714,5.7,88,1,83,4,
2026-05-13 07:49:51,472015,184179,39.0,261116,55.3,26720,5.7,94,2,86,6,
2026-05-13 07:50:51,472102,184185,39.0,261196,55.3,26721,5.7,87,6,80,1,
2026-05-13 07:51:53,472192,184185,39.0,261277,55.3,26730,5.7,90,0,81,9,
2026-05-13 07:52:54,472276,184186,39.0,261357,55.3,26733,5.7,84,1,80,3,
2026-05-13 07:53:58,472373,184190,39.0,261447,55.3,26736,5.7,97,4,90,3,
2026-05-13 07:54:59,472450,184192,39.0,261520,55.4,26738,5.7,77,2,73,2,
2026-05-13 07:56:00,472532,184194,39.0,261599,55.4,26739,5.7,82,2,79,1,
2026-05-13 07:57:03,472628,184198,39.0,261686,55.4,26744,5.7,96,4,87,5,
2026-05-13 07:58:04,472714,184201,39.0,261766,55.4,26747,5.7,86,3,80,3,
2026-05-13 07:59:06,472789,184203,39.0,261837,55.4,26749,5.7,75,2,71,2,
2026-05-13 08:00:08,472872,184205,39.0,261915,55.4,26752,5.7,83,2,78,3,
2026-05-13 08:01:09,472962,184209,38.9,262000,55.4,26753,5.7,90,4,85,1,
2026-05-13 08:02:11,473060,184211,38.9,262092,55.4,26757,5.7,98,2,92,4,
2026-05-13 08:03:12,473150,184213,38.9,262176,55.4,26761,5.7,90,2,84,4,
